parentID;ID;code;name;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
216;219;taimekasti_ots_01 WP 2;WP of ;False;600;6;1;0,6;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
216;221;taimekasti_ots_01 WP 3;WP of ;False;600;39;1;0,6;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
208;223;taimekasti_p6hi_01;;True;1422;522;18;1;;;Part;;;
223;224;taimekasti_p6hi_01 WP 1;WP of ;True;1422;522;18;0,742;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
208;227;taimekasti_sokli_serv_01;;True;1440;60;39;2;;;Part;;;
227;228;taimekasti_sokli_serv_01 WP 1;WP of ;True;1440;60;39;0,086;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
208;230;taimekasti_sokli_ots_01;;True;420;60;39;2;;;Part;;;
230;231;taimekasti_sokli_ots_01 WP 1;WP of ;True;420;60;39;0,025;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
208;21;taimekasti_LED_kate_01;;;;;;1;;;Purchased;;;
208;22;taimekasti_RST_vann_01;;;;;;1;;;Purchased;;;
208;45;puit_tyybel_8x35;;;;;;14;;;Purchased;;;
208;233;plastiktald;;;;;;4;;;Purchased;;;
208;234;RST sokliplekk 1442x39;;;;;;2;;;Purchased;;;
208;235;RST sokliplekk 540x39;;;;;;2;;;Purchased;;;
208;236;LED Alu nurgaprofiilis L=1470;;;;;;2;;;Purchased;;;
208;237;LED Alu nurgaprofiilis L=570;;;;;;2;;;Purchased;;;
1;238;182845_Taimekast_EM_02;;;;;;1;;;Assembly;;;
238;239;Taimekast_EM_02;;;;;;2;;;Assembly;;;
239;240;taimekasti_kylg_02;;True;2200;560;39;2;;;Part;;;
240;241;taimekasti_kylg_02 WP 1;WP of ;True;2220;560;39;1,243;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
240;243;taimekasti_kylg_02 WP 2;WP of ;False;2200;6;1;2,2;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
240;245;taimekasti_kylg_02 WP 3;WP of ;False;2200;39;1;2,2;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
239;247;taimekasti_ots_02;;True;560;400;39;2;;;Part;;;
247;248;taimekasti_ots_02 WP 1;WP of ;True;420;560;39;0,235;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
247;250;taimekasti_ots_02 WP 2;WP of ;False;400;6;1;0,4;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
247;252;taimekasti_ots_02 WP 3;WP of ;False;400;39;1;0,4;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
